#{"t_start": 1759324883.863047, "env_id": "CartPole-v1"}
r,l,t
312.0,312,142.52959
500.0,500,142.989098
500.0,500,143.441246
500.0,500,143.876644
207.0,207,144.058198
194.0,194,144.226044
205.0,205,144.405186
500.0,500,144.846917
500.0,500,145.282151
500.0,500,145.734613
500.0,500,146.175903
13.0,13,146.188185
500.0,500,146.625746
500.0,500,147.067857
13.0,13,147.07813
500.0,500,147.514135
16.0,16,147.529219
17.0,17,147.546007
14.0,14,147.558221
17.0,17,147.571975
14.0,14,147.584902
17.0,17,147.596123
500.0,500,148.037601
500.0,500,148.471072
500.0,500,148.905861
16.0,16,148.921325
20.0,20,148.938506
497.0,497,149.380013
373.0,373,149.941139
364.0,364,150.34286
13.0,13,150.354512
14.0,14,150.366164
17.0,17,150.386316
14.0,14,150.399658
11.0,11,150.411284
12.0,12,150.423442
12.0,12,150.436287
12.0,12,150.44822
14.0,14,150.462303
12.0,12,150.473633
500.0,500,150.918872
10.0,10,150.929694
15.0,15,150.943506
16.0,16,150.957465
13.0,13,150.970972
17.0,17,150.985522
15.0,15,151.000135
13.0,13,151.011173
12.0,12,151.02097
10.0,10,151.031126
15.0,15,151.043103
15.0,15,151.056815
14.0,14,151.071387
15.0,15,151.081913
15.0,15,151.097438
16.0,16,151.111161
14.0,14,151.125868
13.0,13,151.136094
13.0,13,151.147866
12.0,12,151.159904
14.0,14,151.17601
13.0,13,151.187348
13.0,13,151.198445
15.0,15,151.213541
13.0,13,151.224646
11.0,11,151.234323
14.0,14,151.245281
11.0,11,151.256609
17.0,17,151.270132
13.0,13,151.286238
13.0,13,151.296907
12.0,12,151.308637
15.0,15,151.3224
10.0,10,151.329587
16.0,16,151.343951
10.0,10,151.35454
10.0,10,151.363313
13.0,13,151.373518
14.0,14,151.386929
15.0,15,151.402749
14.0,14,151.414565
10.0,10,151.425833
12.0,12,151.437313
10.0,10,151.445165
14.0,14,151.460004
13.0,13,151.470786
11.0,11,151.481033
14.0,14,151.491253
10.0,10,151.500412
12.0,12,151.511179
12.0,12,151.520916
9.0,9,151.528607
13.0,13,151.540418
12.0,12,151.55243
9.0,9,151.559595
12.0,12,151.571409
12.0,12,151.581245
12.0,12,151.593089
12.0,12,151.602475
12.0,12,151.614737
12.0,12,151.62562
10.0,10,151.635379
10.0,10,151.643504
14.0,14,151.657797
12.0,12,151.668505
10.0,10,151.67613
12.0,12,151.688502
12.0,12,151.698391
10.0,10,151.710421
12.0,12,151.720548
10.0,10,151.728884
10.0,10,151.739742
11.0,11,151.749767
11.0,11,151.757623
11.0,11,151.766793
12.0,12,151.778503
14.0,14,151.79249
10.0,10,151.799613
11.0,11,151.810911
14.0,14,151.82157
11.0,11,151.831782
14.0,14,151.845488
11.0,11,151.85468
10.0,10,151.862726
9.0,9,151.871516
11.0,11,151.882686
14.0,14,151.894681
10.0,10,151.903071
13.0,13,151.915225
12.0,12,151.924451
12.0,12,151.934596
14.0,14,151.949603
9.0,9,151.956776
10.0,10,151.964412
10.0,10,151.975682
11.0,11,151.984468
9.0,9,151.993322
12.0,12,152.003463
12.0,12,152.014385
12.0,12,152.024575
10.0,10,152.031181
14.0,14,152.044533
10.0,10,152.053264
9.0,9,152.063406
9.0,9,152.072292
12.0,12,152.082422
13.0,13,152.093311
9.0,9,152.102456
11.0,11,152.111144
14.0,14,152.125367
12.0,12,152.135628
10.0,10,152.144843
13.0,13,152.155034
11.0,11,152.165786
13.0,13,152.176934
14.0,14,152.189158
12.0,12,152.201104
14.0,14,152.212886
9.0,9,152.222825
11.0,11,152.232699
10.0,10,152.244599
11.0,11,152.256433
10.0,10,152.264012
12.0,12,152.278154
11.0,11,152.28993
14.0,14,152.303432
11.0,11,152.313104
14.0,14,152.327522
10.0,10,152.33521
12.0,12,152.345364
11.0,11,152.357664
13.0,13,152.368828
12.0,12,152.380009
10.0,10,152.389816
11.0,11,152.397769
12.0,12,152.409021
11.0,11,152.420111
10.0,10,152.430242
12.0,12,152.441236
11.0,11,152.449956
11.0,11,152.460797
12.0,12,152.471355
10.0,10,152.481654
14.0,14,152.493494
15.0,15,152.505772
12.0,12,152.517654
14.0,14,152.529242
11.0,11,152.540362
15.0,15,152.552202
15.0,15,152.568337
13.0,13,152.57848
12.0,12,152.589743
9.0,9,152.598001
11.0,11,152.608236
14.0,14,152.618872
13.0,13,152.632237
12.0,12,152.64448
10.0,10,152.653225
10.0,10,152.663072
13.0,13,152.672717
10.0,10,152.681971
14.0,14,152.696438
14.0,14,152.708579
16.0,16,152.722977
11.0,11,152.734075
11.0,11,152.744689
10.0,10,152.751885
10.0,10,152.762607
14.0,14,152.773485
13.0,13,152.787482
14.0,14,152.800071
14.0,14,152.814394
10.0,10,152.822073
15.0,15,152.834368
10.0,10,152.842499
10.0,10,152.852759
12.0,12,152.863044
16.0,16,152.878163
10.0,10,152.885802
15.0,15,152.899431
15.0,15,152.913855
11.0,11,152.925662
14.0,14,152.936308
11.0,11,152.946948
9.0,9,152.954134
15.0,15,152.969728
17.0,17,152.983909
15.0,15,152.997153
14.0,14,153.007307
12.0,12,153.019707
15.0,15,153.034752
12.0,12,153.044866
11.0,11,153.056046
10.0,10,153.064957
11.0,11,153.075342
11.0,11,153.085794
11.0,11,153.097183
10.0,10,153.104331
13.0,13,153.114596
10.0,10,153.125344
14.0,14,153.13764
12.0,12,153.148345
14.0,14,153.162218
11.0,11,153.171887
10.0,10,153.180587
12.0,12,153.18991
12.0,12,153.201771
10.0,10,153.211856
11.0,11,153.221261
13.0,13,153.234189
13.0,13,153.246797
10.0,10,153.256601
14.0,14,153.270025
11.0,11,153.279565
15.0,15,153.291723
12.0,12,153.302066
12.0,12,153.31342
13.0,13,153.325969
12.0,12,153.335564
11.0,11,153.342799
13.0,13,153.357648
15.0,15,153.369359
12.0,12,153.378489
13.0,13,153.39192
14.0,14,153.404229
12.0,12,153.414966
17.0,17,153.429999
14.0,14,153.444317
13.0,13,153.456775
12.0,12,153.467762
13.0,13,153.480295
11.0,11,153.491816
10.0,10,153.502571
14.0,14,153.513713
12.0,12,153.52453
14.0,14,153.538321
10.0,10,153.546438
13.0,13,153.558405
16.0,16,153.571708
13.0,13,153.58536
16.0,16,153.598864
16.0,16,153.613573
12.0,12,153.624357
16.0,16,153.638664
12.0,12,153.650156
14.0,14,153.661711
12.0,12,153.671872
17.0,17,153.686204
14.0,14,153.701114
14.0,14,153.711719
10.0,10,153.723025
11.0,11,153.73321
13.0,13,153.745391
14.0,14,153.757426
14.0,14,153.770627
15.0,15,153.784574
14.0,14,153.795058
13.0,13,153.80593
13.0,13,153.819718
15.0,15,153.831643
12.0,12,153.841782
18.0,18,153.859868
10.0,10,153.86797
15.0,15,153.881455
14.0,14,153.896055
12.0,12,153.906738
15.0,15,153.917271
10.0,10,153.929569
12.0,12,153.941282
13.0,13,153.951949
11.0,11,153.962138
11.0,11,153.97184
12.0,12,153.982528
11.0,11,153.990832
14.0,14,154.00275
14.0,14,154.01496
10.0,10,154.025039
11.0,11,154.036432
16.0,16,154.049654
11.0,11,154.058019
14.0,14,154.069796
12.0,12,154.080509
10.0,10,154.088588
10.0,10,154.098967
13.0,13,154.109738
17.0,17,154.125216
16.0,16,154.139722
14.0,14,154.154749
14.0,14,154.166681
12.0,12,154.177166
12.0,12,154.186858
15.0,15,154.201288
13.0,13,154.2126
18.0,18,154.228489
16.0,16,154.242392
16.0,16,154.255809
15.0,15,154.270993
19.0,19,154.28476
14.0,14,154.297
13.0,13,154.309921
19.0,19,154.326206
12.0,12,154.336904
18.0,18,154.352256
13.0,13,154.365885
15.0,15,154.380668
15.0,15,154.392533
14.0,14,154.407178
14.0,14,154.419118
11.0,11,154.429914
15.0,15,154.44341
16.0,16,154.460112
13.0,13,154.470326
13.0,13,154.483185
16.0,16,154.498333
15.0,15,154.511407
16.0,16,154.527507
17.0,17,154.541354
13.0,13,154.551656
13.0,13,154.565992
15.0,15,154.57812
11.0,11,154.589847
16.0,16,154.604781
13.0,13,154.616972
13.0,13,154.628674
19.0,19,154.643131
16.0,16,154.656973
18.0,18,154.674881
17.0,17,154.689714
12.0,12,154.699531
15.0,15,154.713871
12.0,12,154.723593
17.0,17,154.738506
18.0,18,154.757149
17.0,17,154.772364
15.0,15,154.786891
14.0,14,154.797106
14.0,14,154.812399
14.0,14,154.822974
12.0,12,154.834769
15.0,15,154.848762
13.0,13,154.860506
13.0,13,154.870662
13.0,13,154.885064
13.0,13,154.896242
17.0,17,154.912391
13.0,13,154.923415
16.0,16,154.936331
19.0,19,154.953828
13.0,13,154.965014
15.0,15,154.979618
11.0,11,154.989809
16.0,16,155.004878
16.0,16,155.019726
13.0,13,155.030503
17.0,17,155.046084
14.0,14,155.061582
20.0,20,155.078227
13.0,13,155.090688
16.0,16,155.103
12.0,12,155.116286
10.0,10,155.12524
16.0,16,155.139787
12.0,12,155.149899
14.0,14,155.162767
13.0,13,155.172585
17.0,17,155.188064
15.0,15,155.201351
15.0,15,155.214911
16.0,16,155.230176
17.0,17,155.243704
13.0,13,155.257345
12.0,12,155.266984
18.0,18,155.283758
14.0,14,155.297547
13.0,13,155.307153
17.0,17,155.322202
14.0,14,155.335698
17.0,17,155.351349
13.0,13,155.363119
14.0,14,155.377546
15.0,15,155.389808
15.0,15,155.404298
14.0,14,155.418774
13.0,13,155.428616
15.0,15,155.443767
13.0,13,155.455552
16.0,16,155.469687
13.0,13,155.481565
16.0,16,155.496759
17.0,17,155.511371
17.0,17,155.529705
12.0,12,155.541825
14.0,14,155.554217
17.0,17,155.569875
13.0,13,155.583716
15.0,15,155.59589
15.0,15,155.609769
14.0,14,155.622423
12.0,12,155.634991
15.0,15,155.645775
15.0,15,155.659908
14.0,14,155.674138
16.0,16,155.687852
19.0,19,155.703268
15.0,15,155.71647
13.0,13,155.728424
12.0,12,155.739363
11.0,11,155.749721
14.0,14,155.763878
15.0,15,155.774961
12.0,12,155.784122
13.0,13,155.79842
12.0,12,155.807694
13.0,13,155.818271
18.0,18,155.833627
14.0,14,155.847033
15.0,15,155.860367
17.0,17,155.875082
17.0,17,155.890958
15.0,15,155.903404
16.0,16,155.91718
17.0,17,155.931582
15.0,15,155.946298
13.0,13,155.956534
14.0,14,155.971919
14.0,14,155.983133
13.0,13,155.993527
16.0,16,156.008953
17.0,17,156.025297
11.0,11,156.034128
15.0,15,156.047293
10.0,10,156.056016
13.0,13,156.06783
12.0,12,156.078699
10.0,10,156.087007
14.0,14,156.100372
12.0,12,156.111615
10.0,10,156.11939
12.0,12,156.129134
16.0,16,156.144327
16.0,16,156.160043
14.0,14,156.174404
14.0,14,156.186717
12.0,12,156.197381
12.0,12,156.207125
14.0,14,156.220671
14.0,14,156.231779
12.0,12,156.243052
13.0,13,156.255315
12.0,12,156.266222
16.0,16,156.278421
12.0,12,156.289534
11.0,11,156.297374
11.0,11,156.308585
15.0,15,156.322068
13.0,13,156.33399
10.0,10,156.342772
15.0,15,156.357906
16.0,16,156.377057
12.0,12,156.387943
13.0,13,156.401059
12.0,12,156.412702
16.0,16,156.428178
12.0,12,156.437352
11.0,11,156.445561
14.0,14,156.459754
11.0,11,156.470046
12.0,12,156.480143
13.0,13,156.491973
12.0,12,156.50209
12.0,12,156.513368
14.0,14,156.524755
14.0,14,156.537295
14.0,14,156.547788
12.0,12,156.559664
13.0,13,156.571838
11.0,11,156.580669
12.0,12,156.590081
12.0,12,156.601394
14.0,14,156.615754
12.0,12,156.625131
14.0,14,156.638401
11.0,11,156.647731
13.0,13,156.659002
12.0,12,156.669696
10.0,10,156.678448
15.0,15,156.692951
12.0,12,156.702999
15.0,15,156.715524
14.0,14,156.730131
10.0,10,156.73625
13.0,13,156.749918
12.0,12,156.761085
12.0,12,156.770233
12.0,12,156.782184
16.0,16,156.796111
12.0,12,156.807003
12.0,12,156.817767
11.0,11,156.825597
11.0,11,156.835475
13.0,13,156.844743
11.0,11,156.856579
14.0,14,156.87116
11.0,11,156.878867
