#{"t_start": 1760168200.6809075, "env_id": "None"}
r,l,t
9.0,9,84.647038
9.0,9,84.654831
9.0,9,84.662081
9.0,9,84.669833
9.0,9,84.677189
11.0,10,84.688148
10.0,10,84.693818
9.0,9,84.702481
9.0,9,84.708241
9.0,9,84.714417
9.0,9,84.72287
9.0,9,84.731128
10.0,10,84.739466
10.0,10,84.749261
9.0,9,84.75548
10.0,10,84.762597
9.0,9,84.771327
9.0,9,84.777509
10.0,10,84.783587
9.0,9,84.791709
10.0,10,84.799442
9.0,9,84.806727
10.0,10,84.816086
9.0,9,84.821748
11.0,11,84.831014
10.0,10,84.836853
10.0,10,84.845688
9.0,9,84.852704
10.0,10,84.860373
10.0,10,84.867887
8.0,8,84.874052
9.0,9,84.880854
11.0,11,84.890624
11.0,11,84.900495
9.0,9,84.906679
9.0,9,84.912845
10.0,10,84.920217
10.0,10,84.926379
10.0,10,84.935211
10.0,10,84.941412
8.0,8,84.948787
9.0,9,84.958925
10.0,10,84.964976
9.0,9,84.972221
9.0,9,84.982725
8.0,8,84.98982
8.0,8,84.995531
10.0,10,85.003211
10.0,10,85.010446
9.0,9,85.016738
10.0,10,85.022807
10.0,10,85.031453
9.0,9,85.036063
8.0,8,85.043803
10.0,10,85.052857
9.0,9,85.058157
8.0,8,85.062771
9.0,9,85.068896
9.0,9,85.074604
10.0,10,85.082776
11.0,11,85.090953
11.0,11,85.095994
9.0,9,85.103037
9.0,9,85.110268
9.0,9,85.116533
10.0,10,85.123761
10.0,10,85.131439
9.0,9,85.137168
8.0,8,85.143294
10.0,10,85.152495
10.0,10,85.160049
10.0,10,85.168136
10.0,10,85.173776
11.0,11,85.18309
10.0,10,85.190711
10.0,10,85.198287
10.0,10,85.20601
9.0,9,85.213813
9.0,9,85.220866
9.0,9,85.227435
10.0,10,85.235057
10.0,10,85.24279
9.0,9,85.25059
10.0,10,85.257151
9.0,9,85.262731
8.0,8,85.268926
9.0,9,85.277747
9.0,9,85.283983
10.0,10,85.292641
9.0,9,85.30038
11.0,11,85.306125
8.0,8,85.312398
10.0,10,85.320023
11.0,11,85.328685
12.0,12,85.339039
10.0,10,85.346937
9.0,9,85.35364
9.0,9,85.362907
9.0,9,85.3707
10.0,10,85.377771
10.0,10,85.386371
10.0,10,85.393536
9.0,9,85.402293
10.0,10,85.408864
9.0,9,85.415049
11.0,11,85.426254
10.0,10,85.433817
10.0,10,85.441637
9.0,9,85.447879
8.0,8,85.454011
9.0,9,85.462815
9.0,9,85.468989
10.0,9,85.475583
10.0,10,85.485279
10.0,10,85.493845
9.0,9,85.501554
11.0,11,85.511335
9.0,9,85.518948
9.0,9,85.525502
10.0,10,85.531152
9.0,9,85.538312
10.0,10,85.547552
10.0,10,85.554274
9.0,9,85.563536
11.0,11,85.570297
10.0,10,85.578541
9.0,9,85.584637
9.0,9,85.591751
9.0,9,85.600962
11.0,11,85.607268
10.0,10,85.615862
10.0,10,85.623019
9.0,9,85.632107
10.0,10,85.639973
8.0,8,85.646786
10.0,10,85.655341
9.0,9,85.661897
10.0,10,85.66905
9.0,9,85.677504
10.0,10,85.682732
9.0,9,85.690488
10.0,10,85.699237
9.0,9,85.706318
13.0,12,85.715581
10.0,10,85.725161
10.0,10,85.732334
9.0,9,85.739184
10.0,10,85.748862
9.0,9,85.756425
9.0,9,85.763103
9.0,9,85.770844
8.0,8,85.777545
10.0,10,85.784084
10.0,10,85.792754
10.0,10,85.798802
9.0,9,85.805936
9.0,9,85.814156
9.0,9,85.821325
8.0,8,85.827363
9.0,9,85.835004
10.0,10,85.843621
10.0,10,85.850204
10.0,10,85.857792
10.0,10,85.865078
8.0,8,85.871365
12.0,11,85.881429
10.0,10,85.888196
9.0,9,85.8974
9.0,9,85.905761
9.0,9,85.913629
10.0,10,85.922199
10.0,10,85.929257
9.0,9,85.934906
10.0,10,85.944187
9.0,9,85.950383
10.0,10,85.959969
8.0,8,85.965617
9.0,9,85.979939
12.0,11,85.98779
9.0,9,85.995061
9.0,9,86.002764
10.0,10,86.011567
10.0,10,86.019124
9.0,9,86.026277
11.0,10,86.03354
9.0,9,86.04067
10.0,10,86.049229
9.0,9,86.054799
10.0,10,86.060943
8.0,8,86.066118
10.0,10,86.074837
10.0,10,86.081407
9.0,9,86.091011
10.0,10,86.097061
12.0,11,86.106727
10.0,10,86.115095
11.0,11,86.1258
10.0,10,86.133976
9.0,9,86.141214
9.0,9,86.146907
8.0,8,86.153121
8.0,8,86.160397
9.0,9,86.166554
9.0,9,86.174352
10.0,10,86.17991
10.0,10,86.188999
10.0,10,86.196558
9.0,9,86.202974
9.0,9,86.210326
9.0,9,86.216512
8.0,8,86.222696
10.0,10,86.230003
10.0,10,86.238511
9.0,9,86.244929
11.0,11,86.254711
10.0,10,86.261274
10.0,10,86.270261
10.0,10,86.276958
10.0,10,86.286287
8.0,8,86.292443
10.0,10,86.300237
9.0,9,86.307891
8.0,8,86.315556
10.0,10,86.321704
9.0,9,86.327752
8.0,8,86.333791
9.0,9,86.341898
9.0,9,86.347936
9.0,9,86.353542
9.0,9,86.359696
10.0,10,86.367013
10.0,10,86.373147
10.0,10,86.381929
12.0,11,86.389595
10.0,10,86.397333
12.0,12,86.404552
10.0,10,86.411623
9.0,9,86.416221
9.0,9,86.423449
9.0,9,86.428063
10.0,10,86.436864
9.0,9,86.442836
9.0,9,86.448963
9.0,9,86.457341
10.0,10,86.463493
9.0,9,86.470305
9.0,9,86.478404
8.0,8,86.483976
9.0,9,86.491061
10.0,10,86.497094
9.0,9,86.504097
10.0,10,86.509697
10.0,10,86.51693
8.0,8,86.523038
9.0,9,86.529189
9.0,9,86.536555
10.0,10,86.543606
10.0,10,86.549277
11.0,11,86.556962
10.0,10,86.564172
9.0,9,86.572163
9.0,9,86.578219
9.0,9,86.583993
8.0,8,86.590932
10.0,10,86.599759
9.0,9,86.605875
10.0,10,86.612603
9.0,9,86.620664
9.0,9,86.626801
10.0,10,86.633417
10.0,10,86.641481
10.0,10,86.647071
11.0,11,86.656303
9.0,9,86.661993
10.0,10,86.669729
10.0,10,86.675939
10.0,10,86.684752
10.0,10,86.690441
9.0,9,86.699298
9.0,9,86.704299
10.0,10,86.711552
9.0,9,86.719221
10.0,10,86.726467
10.0,10,86.734174
8.0,8,86.73927
8.0,8,86.745811
10.0,10,86.751841
10.0,10,86.757425
10.0,10,86.763665
8.0,8,86.770216
10.0,10,86.777904
10.0,10,86.785168
10.0,10,86.792845
8.0,8,86.799647
10.0,10,86.804773
9.0,9,86.810909
9.0,9,86.819653
10.0,10,86.825788
9.0,9,86.832055
10.0,10,86.841115
9.0,9,86.847741
9.0,9,86.853514
10.0,10,86.861863
10.0,10,86.868526
8.0,8,86.876094
10.0,10,86.884804
10.0,10,86.892364
9.0,9,86.900696
11.0,11,86.908974
10.0,10,86.917032
10.0,10,86.921581
9.0,9,86.930866
9.0,9,86.937409
10.0,10,86.943447
11.0,11,86.952685
11.0,11,86.96054
9.0,9,86.966098
8.0,8,86.971265
8.0,8,86.976845
9.0,9,86.981452
9.0,9,86.990182
10.0,10,86.997499
10.0,10,87.005046
10.0,10,87.011192
