#{"t_start": 1760168200.6778426, "env_id": "None"}
r,l,t
10.0,10,10.025551
11.0,11,10.033826
9.0,9,10.040877
10.0,10,10.046921
9.0,9,10.056727
13.0,13,10.064429
10.0,10,10.071706
9.0,9,10.079973
10.0,10,10.086078
9.0,9,10.09225
9.0,9,10.09999
10.0,10,10.108289
9.0,9,10.113844
11.0,11,10.126265
10.0,10,10.13832
8.0,8,10.14448
9.0,9,10.151155
9.0,9,10.15954
9.0,9,10.166172
10.0,10,10.176211
12.0,12,10.18395
9.0,9,10.191657
10.0,10,10.202019
9.0,9,10.208815
10.0,10,10.216877
11.0,11,10.226966
10.0,10,10.236289
10.0,10,10.242425
10.0,10,10.2511
10.0,10,10.259947
10.0,10,10.26812
10.0,10,10.277069
8.0,8,10.284214
10.0,10,10.294122
10.0,10,10.301346
11.0,11,10.309612
10.0,10,10.317339
9.0,9,10.324605
11.0,11,10.330793
10.0,10,10.33971
9.0,9,10.345868
9.0,9,10.352611
8.0,8,10.358652
9.0,9,10.367368
10.0,10,10.373745
10.0,10,10.381307
10.0,10,10.386929
10.0,10,10.395761
10.0,10,10.403008
10.0,10,10.41199
12.0,12,10.419463
9.0,9,10.425638
9.0,9,10.432915
10.0,10,10.441109
8.0,8,10.445247
10.0,10,10.450941
11.0,11,10.461545
10.0,10,10.468655
9.0,9,10.476364
9.0,9,10.48301
10.0,10,10.489053
9.0,9,10.496641
14.0,14,10.506214
10.0,10,10.513278
10.0,10,10.519443
9.0,9,10.526717
10.0,10,10.535033
9.0,9,10.542106
10.0,10,10.550823
8.0,8,10.557586
10.0,10,10.563216
9.0,9,10.570893
10.0,10,10.579704
12.0,12,10.590091
9.0,9,10.596244
9.0,9,10.602534
9.0,9,10.612723
10.0,10,10.620005
10.0,10,10.626162
11.0,11,10.632341
9.0,9,10.640085
9.0,9,10.645689
10.0,10,10.652963
9.0,9,10.660665
10.0,10,10.667431
9.0,9,10.674479
10.0,10,10.684056
9.0,9,10.689658
9.0,9,10.695844
11.0,11,10.705218
10.0,10,10.71429
11.0,11,10.720428
9.0,9,10.729234
9.0,9,10.736547
9.0,9,10.741191
9.0,9,10.747387
10.0,10,10.756686
10.0,10,10.762847
9.0,9,10.770307
10.0,10,10.777586
9.0,9,10.783726
8.0,8,10.788651
8.0,8,10.794377
9.0,9,10.8027
9.0,9,10.808134
10.0,10,10.813888
10.0,10,10.82301
9.0,9,10.830772
9.0,9,10.838605
9.0,9,10.84718
11.0,11,10.853791
13.0,13,10.865565
10.0,10,10.871901
9.0,9,10.878461
10.0,10,10.887847
10.0,10,10.894897
10.0,10,10.90353
8.0,8,10.909073
10.0,10,10.916241
10.0,10,10.925297
8.0,8,10.931336
9.0,9,10.937382
10.0,10,10.945976
9.0,9,10.953171
10.0,10,10.959892
10.0,10,10.968218
9.0,9,10.974295
10.0,10,10.98162
9.0,9,10.98779
9.0,9,10.993535
9.0,9,11.001291
9.0,9,11.008837
10.0,10,11.016018
9.0,9,11.022174
9.0,9,11.030075
9.0,9,11.035683
10.0,10,11.042765
9.0,9,11.050471
8.0,8,11.057736
10.0,10,11.065586
8.0,8,11.072273
10.0,10,11.079983
10.0,10,11.087282
11.0,11,11.096348
9.0,9,11.102507
10.0,10,11.112294
10.0,10,11.11956
10.0,10,11.127617
11.0,11,11.13482
9.0,9,11.143179
8.0,8,11.149368
8.0,8,11.15553
10.0,10,11.161593
8.0,8,11.167151
10.0,10,11.175873
8.0,8,11.181613
10.0,10,11.187784
9.0,9,11.19394
9.0,9,11.205281
12.0,12,11.215669
9.0,9,11.223411
10.0,10,11.229744
10.0,10,11.236913
10.0,10,11.242567
9.0,9,11.251631
10.0,10,11.257671
10.0,10,11.266145
9.0,9,11.27324
9.0,9,11.279433
10.0,10,11.287123
9.0,9,11.292812
9.0,9,11.300098
10.0,10,11.308701
9.0,9,11.316434
9.0,9,11.322134
9.0,9,11.328897
9.0,9,11.337522
10.0,10,11.343143
10.0,10,11.352715
8.0,8,11.358338
8.0,8,11.36358
10.0,10,11.370232
9.0,9,11.376274
10.0,10,11.384479
9.0,9,11.391022
10.0,10,11.398686
9.0,9,11.404833
10.0,10,11.411001
10.0,10,11.419829
13.0,13,11.428667
9.0,9,11.434864
10.0,10,11.442583
9.0,9,11.449862
9.0,9,11.456004
10.0,10,11.463795
11.0,11,11.470935
10.0,10,11.478679
9.0,9,11.484836
11.0,11,11.493121
9.0,9,11.499255
11.0,11,11.507816
10.0,10,11.515494
8.0,8,11.521658
10.0,10,11.527981
10.0,10,11.537094
8.0,8,11.545226
10.0,10,11.556232
9.0,9,11.563022
10.0,10,11.571828
8.0,8,11.578014
8.0,8,11.582639
10.0,10,11.591475
9.0,9,11.599713
8.0,8,11.605346
9.0,9,11.612503
9.0,9,11.618206
9.0,9,11.624986
9.0,9,11.6326
9.0,9,11.638772
8.0,8,11.644913
9.0,9,11.650606
9.0,9,11.658426
9.0,9,11.666977
9.0,9,11.673146
10.0,10,11.679282
9.0,9,11.686451
10.0,10,11.694314
8.0,8,11.700907
8.0,8,11.706953
10.0,10,11.714397
9.0,9,11.720063
10.0,10,11.727808
9.0,9,11.734047
10.0,10,11.741298
8.0,8,11.747477
10.0,10,11.755176
9.0,9,11.763427
8.0,8,11.770996
9.0,9,11.779105
10.0,10,11.787687
8.0,8,11.795138
10.0,10,11.803311
10.0,10,11.81292
10.0,10,11.819658
10.0,10,11.831838
9.0,9,11.838924
10.0,10,11.846257
9.0,9,11.856821
8.0,8,11.862872
9.0,9,11.869962
10.0,10,11.878701
10.0,10,11.887888
10.0,10,11.895507
9.0,9,11.904284
9.0,9,11.911521
9.0,9,11.917261
9.0,9,11.925228
9.0,9,11.933179
9.0,9,11.940901
9.0,9,11.947093
8.0,8,11.954838
8.0,8,11.962137
10.0,10,11.972229
9.0,9,11.979665
9.0,9,11.988039
10.0,10,11.996375
10.0,10,12.004923
10.0,10,12.014266
9.0,9,12.022055
8.0,8,12.028708
8.0,8,12.034913
11.0,11,12.0441
9.0,9,12.05181
10.0,10,12.059173
9.0,9,12.069182
10.0,10,12.078038
9.0,9,12.08519
9.0,9,12.094234
9.0,9,12.101511
9.0,9,12.107713
10.0,10,12.116074
10.0,10,12.123915
11.0,11,12.134809
10.0,10,12.140857
8.0,8,12.148025
10.0,10,12.158181
9.0,9,12.165255
10.0,10,12.17381
9.0,9,12.182118
10.0,10,12.189395
8.0,8,12.196205
10.0,10,12.207059
9.0,9,12.21977
10.0,10,12.232219
10.0,10,12.239553
8.0,8,12.247273
8.0,8,12.255111
10.0,10,12.266608
10.0,10,12.276269
10.0,10,12.289571
10.0,10,12.301199
9.0,9,12.311322
9.0,9,12.324447
10.0,10,12.335158
9.0,9,12.343736
10.0,10,12.352687
9.0,9,12.362615
10.0,10,12.373482
9.0,9,12.408706
10.0,10,12.431912
10.0,10,12.455734
10.0,10,12.463082
8.0,8,12.472922
10.0,10,12.489016
10.0,10,12.495669
10.0,10,12.504488
9.0,9,12.509141
10.0,10,12.520581
9.0,9,12.526229
10.0,10,12.534478
8.0,8,12.540761
11.0,11,12.550869
9.0,9,12.556945
8.0,8,12.563981
10.0,10,12.573139
8.0,8,12.578729
10.0,10,12.585928
10.0,10,12.593485
9.0,9,12.600976
10.0,10,12.609725
8.0,8,12.617078
8.0,8,12.622688
9.0,9,12.629501
10.0,10,12.63565
10.0,10,12.644344
9.0,9,12.65142
10.0,10,12.659367
9.0,9,12.665072
9.0,9,12.671265
9.0,9,12.678563
11.0,11,12.688345
10.0,10,12.695934
10.0,10,12.702096
10.0,10,12.709331
9.0,9,12.715568
11.0,11,12.724207
9.0,9,12.731368
9.0,9,12.736434
10.0,10,12.745123
11.0,11,12.753929
9.0,9,12.761587
10.0,10,12.768345
10.0,10,12.776583
10.0,10,12.78286
10.0,10,12.789952
9.0,9,12.796149
9.0,9,12.801843
8.0,8,12.808028
9.0,9,12.815932
10.0,10,12.824163
10.0,10,12.831448
8.0,8,12.836067
9.0,9,12.845313
9.0,9,12.852444
9.0,9,12.858533
9.0,9,12.864705
10.0,10,12.87242
10.0,10,12.880896
